Transaction_ID,Customer_Name,Age,Gender,Income,Join_Date,Purchase_Amount,Is_Subscribed,City
TRX-3615,Hannah,-5.0,F,Unknown,24-06-2022,238.57155784991187,False,N.Y.
TRX-7924,Grace!!,999.0,Male ,"$73,906",25-04-2020,-50.0,0,chicago
TRX-6574,BOB JOHNSON,27.0,m,N/A,,,No,LA
TRX-5552,Hannah,150.0,,92986,26-04-2020,198.23341841578696,N,Los Angeles
TRX-3547,BOB JOHNSON,0.0,  Female,,2021-08-10,131.65243738678143,0,los angeles
TRX-4527,John Doe,,,Unknown,,88.25283444377887,No,Chicago
TRX-6514,jane smith,-4.0,m,141293,2022-08-05,293.0666485678623,0,chicago
TRX-2674,John Doe,28.0,Female,Unknown,03/16/2023,383.929473817928,Yes,
TRX-2519,BOB JOHNSON,150.0,F,Unknown,2023/15/01,262.21517122342743,0,LA
TRX-7224,jane smith,-2.0,m,131940,2020-11-04,161.18483620667035,Y,Los Angeles
TRX-2584,John Doe,70.0,F,N/A,2023/15/01,,1,Los Angeles
TRX-6881,david,150.0,f,Unknown,12/19/2020,257.66778688164806,0,LA
TRX-6635,jane smith,-5.0,M,"$42,638",2023/15/01,115.42076703785814,Yes,chicago
TRX-5333,Grace!!,150.0,m,82991,21-11-2020,34.764798267667025,0,Chicago
TRX-1711,BOB JOHNSON,-1.0,Male,,,442.3463434204185,True,Chicago
TRX-8527,Charlie,-5.0,  Female,"$109,809",2021-11-23,240.5875581504159,Yes,new york
TRX-9785,Frank_Wright,29.0,M,N/A,2023-07-16,425.11445904279924,1,Chicago
TRX-3045,BOB JOHNSON,-2.0,m,Unknown,,442.4033081501105,True,LA
TRX-7201,Grace!!,150.0,Male,"$141,654",2023/15/01,384.2898144393749,Yes,N.Y.
TRX-2291,Alice M.,56.0,Male,117394,2023/15/01,206.28499429723072,N,LA
TRX-5803,Hannah,75.0,  Female,"$125,192",17-12-2021,105.38109792498234,No,LA
TRX-6925,Hannah,150.0,m,"$86,270",,46.030557373992494,Yes,los angeles
TRX-4150,Frank_Wright,,M,,2020-09-21,384.5580162065474,1,New York
TRX-2139,BOB JOHNSON,,Male ,85249,10-02-2022,494.6544433041541,False,   Chicago
TRX-1750,Frank_Wright,150.0,Female,102798,2023/15/01,68.21739966455888,No,N.Y.
TRX-4733,Eva,0.0,Male,Unknown,,203.0128192370175,Yes,NY
TRX-5741,BOB JOHNSON,57.0,,N/A,07-02-2020,176.151796976757,No,New York
TRX-2307,jane smith,999.0,m,,14-03-2021,379.932934423469,0,Los Angeles
TRX-4814,jane smith,-2.0,Male ,Unknown,01/28/2021,259.47003295033926,Yes,chicago
TRX-2654,Eva,999.0,Male ,116659,2020-11-13,32.198642708866615,True,   Chicago
TRX-7227,david,,Male ,N/A,2022-11-05,173.18994562285593,1,   Chicago
TRX-5554,Eva,,f,,11/20/2021,233.92439404860824,Y,los angeles
TRX-8428,Eva,999.0,M,Unknown,02/10/2022,262.59780875215444,Y,Los Angeles
TRX-6977,Frank_Wright,37.0,Male,Unknown,11/19/2023,310.4033793216922,1,NY
TRX-3664,John Doe,150.0,m,,,495.40171140495863,False,N.Y.
TRX-7065,jane smith,,Male ,,10/17/2023,156.62482783887594,1,LA
TRX-6820,John Doe,150.0,Female,"$31,679",,415.8617991191142,0,N.Y.
TRX-4432,Eva,150.0,Female,,04-05-2021,357.2825051533646,1,los angeles
TRX-5374,david,75.0,Femal,,2023/15/01,409.71692828947386,1,   Chicago
TRX-2169,jane smith,999.0,Male ,,,340.1651323117781,No,N.Y.
TRX-3803,BOB JOHNSON,-1.0,Female,122885,12/16/2022,296.0140495059053,Y,Chicago
TRX-9751,BOB JOHNSON,,,"$110,199",10-10-2020,365.4088641504091,False,chicago
TRX-5010,BOB JOHNSON,32.0,Male,N/A,11-09-2022,23.05710593227826,No,
TRX-3677,Grace!!,150.0,M,,2023/15/01,483.8646411243049,Y,
TRX-8573,Frank_Wright,150.0,M,83279,08/06/2021,390.31939233431535,1,LA
TRX-7216,Alice M.,999.0,,,07/09/2022,363.4860550251903,Y,Los Angeles
TRX-5422,Eva,150.0,m,146379,,93.55091025586307,N,Chicago
TRX-4598,Alice M.,43.0,Female,,2021-12-16,313.6705446955338,Yes,
TRX-6313,Charlie,59.0,F,"$125,991",10/25/2022,82.4100970671626,Yes,Chicago
TRX-1916,Frank_Wright,45.0,Female,48872,06/16/2020,25.469551537628693,True,Chicago
TRX-4752,BOB JOHNSON,999.0,  Female,Unknown,21-07-2020,63.84880545351145,0,NY
TRX-1525,jane smith,21.0,Femal,"$138,923",19-03-2020,,1,LA
TRX-6168,Frank_Wright,150.0,,N/A,,84.20131647847926,1,NY
TRX-7572,Grace!!,,,,2022-07-07,211.0849305681255,N,NY
TRX-5386,jane smith,-1.0,,,06/08/2021,461.0552654496332,N,chicago
TRX-2084,John Doe,999.0,F,"$43,791",2023/15/01,370.5602629216539,0,Chicago
TRX-4456,Grace!!,150.0,  Female,71724,08/15/2020,,False,NY
TRX-6155,John Doe,150.0,Femal,Unknown,09/06/2020,111.59743543590992,Y,chicago
TRX-4483,jane smith,150.0,Male ,Unknown,,334.49113186003103,True,
TRX-9179,BOB JOHNSON,,Male ,,2023/15/01,163.7387733815304,N,New York
TRX-7482,Alice M.,150.0,m,N/A,2023/15/01,456.94083885276507,No,chicago
TRX-8517,Eva,150.0,,N/A,05/10/2021,183.60062443595825,Yes,New York
TRX-3340,Frank_Wright,63.0,Femal,125844,2023/15/01,363.2530350503734,1,new york
TRX-5339,Frank_Wright,999.0,m,Unknown,,349.7235219146122,Yes,
TRX-3287,BOB JOHNSON,26.0,,"$108,517",2021-01-18,104.20944287698957,N,New York
TRX-5040,Eva,,,Unknown,2023/15/01,283.46245889562806,N,New York
TRX-9830,John Doe,150.0,Male,,2023/15/01,486.7262075193788,No,los angeles
TRX-5304,Alice M.,150.0,,Unknown,2020-02-11,151.61202732772722,No,NY
TRX-8019,Eva,150.0,Female,Unknown,03-02-2022,355.44424727269643,Yes,
TRX-7543,John Doe,,F,N/A,18-05-2020,180.91355535864022,0,N.Y.
TRX-6930,Eva,150.0,F,130441,2021-05-08,399.7486244411434,Yes,new york
TRX-4593,Charlie,-3.0,m,"$46,905",2023-04-06,69.71831180903038,N,NY
TRX-3266,Frank_Wright,999.0,Female,N/A,01/23/2023,196.05015083344742,Yes,New York
TRX-9348,Charlie,999.0,M,,,411.00495546397553,1,N.Y.
TRX-9085,Eva,32.0,F,"$129,251",2023-07-17,404.26175863871947,0,chicago
TRX-2489,Grace!!,35.0,M,N/A,16-03-2020,150.93886739092855,N,Chicago
TRX-1771,Frank_Wright,,  Female,"$62,917",2021-02-16,179.71812190685208,N,LA
TRX-2796,Alice M.,43.0,Female,75908,,135.65754798200624,Yes,New York
TRX-3504,BOB JOHNSON,999.0,M,,2023-01-17,109.01332352829228,Y,   Chicago
TRX-3621,Charlie,999.0,Male,N/A,08-08-2021,467.1817275538208,True,
TRX-7916,BOB JOHNSON,54.0,Femal,Unknown,10-11-2021,77.26374785245224,N,
TRX-2040,John Doe,150.0,Male ,"$129,470",,297.5469442996994,False,   Chicago
TRX-7304,Hannah,150.0,,"$87,615",03/02/2022,338.21864279762093,False,Chicago
TRX-7252,Grace!!,-2.0,Male ,N/A,15-10-2022,322.59284097023243,N,
TRX-8668,John Doe,-2.0,m,"$68,569",,,True,Chicago
TRX-9669,david,-2.0,Male,"$91,967",05/31/2022,361.5054475626194,Y,New York
TRX-5119,John Doe,71.0,F,"$92,829",2023-01-22,387.67536846815676,N,New York
TRX-1188,John Doe,-5.0,m,71722,15-09-2023,,1,chicago
TRX-2876,Hannah,,m,N/A,,465.25884328328914,True,chicago
TRX-9797,Frank_Wright,66.0,Male ,N/A,28-06-2022,468.16572831211425,True,los angeles
TRX-5371,Grace!!,999.0,Female,N/A,28-01-2024,243.94977501603927,Yes,New York
TRX-6573,Grace!!,150.0,F,"$85,201",2023-06-13,482.3178790565585,Y,New York
TRX-2827,Alice M.,25.0,m,N/A,,326.48997976623224,1,chicago
TRX-5808,John Doe,-3.0,,Unknown,11/16/2022,53.835753050643,0,Los Angeles
TRX-8123,Grace!!,,F,Unknown,,272.22461567786627,Yes,chicago
TRX-3591,jane smith,-4.0,Femal,,09/15/2020,468.96799607780673,False,Los Angeles
TRX-8433,Alice M.,-5.0,Female,,,95.78173998567192,1,New York
TRX-1053,jane smith,150.0,  Female,"$49,803",03/07/2020,96.13646669404265,False,chicago
TRX-5315,Hannah,78.0,F,Unknown,29-01-2022,498.6141835133699,1,
TRX-9201,jane smith,62.0,M,124481,06/06/2020,252.73810968766134,1,los angeles
TRX-3927,BOB JOHNSON,,m,N/A,26-03-2022,481.4443762408378,Y,NY
TRX-9317,Eva,999.0,M,,2023-08-23,439.60415227978245,True,new york
TRX-2743,jane smith,999.0,Female,Unknown,2023/15/01,,1,new york
TRX-5889,Hannah,45.0,Male,N/A,29-08-2020,62.577338479033614,Y,chicago
TRX-9317,BOB JOHNSON,50.0,M,N/A,12/12/2023,149.43520965152268,0,NY
TRX-4258,Hannah,72.0,m,114593,,276.2172369429177,N,N.Y.
TRX-3504,Hannah,,,N/A,2021-02-13,469.89464585302744,N,N.Y.
TRX-7126,John Doe,,,N/A,,239.33017681308215,True,   Chicago
TRX-3646,Hannah,,m,N/A,16-10-2021,65.19691289987568,Y,chicago
TRX-9837,jane smith,0.0,Male ,N/A,2023/15/01,234.86809080585698,0,Los Angeles
TRX-9689,Eva,150.0,Female,,09/06/2021,101.23754387275318,Yes,LA
TRX-1009,Hannah,999.0,Male ,,2022-01-10,397.4761555683753,1,Los Angeles
TRX-6310,Hannah,35.0,m,74106,,381.068547626205,1,los angeles
TRX-9005,Grace!!,74.0,Femal,Unknown,2023/15/01,429.5117870939943,Y,new york
TRX-1319,david,999.0,m,"$38,245",08/15/2022,415.2250143853917,1,LA
TRX-2832,Charlie,60.0,  Female,Unknown,14-05-2020,52.5015072256944,N,los angeles
TRX-6947,BOB JOHNSON,72.0,  Female,,,100.54278851319658,True,Chicago
TRX-6038,david,-3.0,Male ,N/A,2023/15/01,168.56481834169057,N,   Chicago
TRX-4923,BOB JOHNSON,,Male ,143153,2020-05-31,137.7847857620675,False,N.Y.
TRX-1949,Charlie,74.0,Female,"$50,872",2023/15/01,379.3407593729139,No,N.Y.
TRX-4946,Eva,51.0,,Unknown,2023/15/01,157.9534614488912,0,Los Angeles
TRX-2290,Alice M.,150.0,Male,83379,2023/15/01,15.603509755142316,False,
TRX-2403,Charlie,,Femal,Unknown,09/11/2020,349.45660930714206,No,new york
TRX-8962,Frank_Wright,150.0,f,N/A,27-11-2020,,N,
TRX-2133,david,46.0,,"$92,639",2023/15/01,160.33510758177368,Yes,
TRX-9727,jane smith,,m,"$58,504",06/10/2020,256.23503090681095,True,New York
TRX-1916,Frank_Wright,45.0,Female,48872,06/16/2020,25.469551537628693,True,Chicago
TRX-9928,jane smith,45.0,F,"$100,517",10/26/2020,247.283053752606,No,new york
TRX-8123,Grace!!,,F,Unknown,,272.22461567786627,Yes,chicago
TRX-5386,jane smith,-1.0,,,06/08/2021,461.0552654496332,N,chicago
TRX-6168,Frank_Wright,150.0,,N/A,,84.20131647847926,1,NY
